Week,sample-data/Logos/Buffalo.png,sample-data/Logos/FIU.png,sample-data/Logos/GSU.png,sample-data/Logos/Hawaii.png,sample-data/Logos/ODU.png,sample-data/Logos/Rice.png
Week 0,Georgia State | W 26-23,Rice,Buffalo | L 23-26,Old Dominion | L 28-35,Hawaii | W 35-28,FIU
Week 1,Michigan,BYE,Hawaii,Georiga State,BYE,BYE
Week 2,BYE,Old Dominion,BYE,Rice,FIU,Hawaii
Week 3,Old Dominion,FAU,Rice,BYE,Buffalo,Georgia State
Week 4,Rice, Hawaii,Old Dominion,FIU,Georgia State,Buffalo
Week 5,Texas,BYE,Florida State,Wisconsin,Clemson,Notre Dame
Week 6,Michigan State,Auburn,BYE,Ohio State,Notre Dame,Virginia
Week 7,Hawaii,Memphis,FAU,Buffalo,BYE,BYE
Week 8,BYE,Georgia State,FIU,Arizona,Purdue,Clemson
Week 9,FIU,Buffalo,Memphis,Texas,Rice,Old Dominion
Week 10,Ohio State,Penn State,Auburn,BYE,Houston,Arkansas
Week 11,Louisville,Florida State,Texas A&M,USC,Vanderbilt,LSU
Week 12,Wisconsin,North Carolina,Kentucky,Florida,Virginia,Baylor
Week 13,Maryland,Miami,Texas Tech,Michigan State,Oklahoma,Houston
Week 14,BYE,BYE,BYE,BYE,BYE,BYE
Week 15,BYE,BYE,BYE,BYE,BYE,BYE
Bowl Week 1,BYE,BYE,BYE,BYE,BYE,BYE
Bowl Week 2,BYE,BYE,BYE,BYE,BYE,BYE
Bowl Week 3,BYE,BYE,BYE,BYE,BYE,BYE
Bowl Week 4,BYE,BYE,BYE,BYE,BYE,BYE
